順位,選手,クラブ,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
57,"マーカス・フォスター
#17SG",A東京,77,55,254,12.3%,40.7%,53.9%,55.5%,42.9%,51.3%,44.7%,48.7%,1.6,19.9%,20.2%,20.2%,22.8%,21.9%,20.2%,20.2%,4.4%,10.0%,8.4%,16.3%,19.0,10.8,7.6%,23.3%,10.1%,14.9%
57,"コティ・クラーク
#1PF",島根,77,65,214,22.0%,45.2%,57.1%,63.0%,50.7%,66.6%,27.3%,33.4%,1.8,14.8%,14.0%,12.8%,12.3%,10.4%,14.0%,12.8%,8.2%,15.2%,13.3%,12.1%,11.6,10.7,5.2%,13.0%,8.4%,13.8%
60,"ジェイク・レイマン
#10SF/PF",三河,76,135,218,13.6%,39.6%,62.5%,64.4%,41.7%,44.6%,44.6%,55.4%,1.1,16.8%,16.7%,15.1%,19.6%,17.1%,16.7%,15.1%,11.2%,19.3%,17.0%,7.7%,13.4,20.6,27.7%,7.8%,12.7%,17.0%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
61,"ベンドラメ 礼生
#9PG/SG",SR渋谷,75,51,110,17.7%,30.9%,42.1%,46.6%,42.7%,54.0%,39.6%,46.0%,1.8,12.0%,11.5%,13.7%,14.6%,16.0%,11.5%,13.7%,4.7%,4.3%,4.4%,15.0%,14.9,16.0,0.0%,26.4%,12.9%,16.5%
62,"ケビン・ジョーンズ
#5PF",北海道,74,93,190,7.9%,50.1%,59.0%,60.8%,61.2%,64.9%,30.9%,35.1%,2.5,11.0%,12.2%,11.2%,12.7%,11.9%,12.2%,11.2%,9.1%,15.5%,13.3%,8.3%,5.7,12.2,29.6%,8.6%,7.0%,4.3%
63,"ヴィック・ロー
#4SF/PF",琉球,68,45,202,14.9%,40.6%,51.7%,55.2%,54.3%,67.5%,30.8%,32.5%,2.5,15.6%,16.2%,15.4%,14.6%,11.9%,16.2%,15.4%,7.5%,17.7%,14.0%,16.7%,11.5,11.5,9.2%,3.3%,6.9%,16.1%
64,"ロバート・フランクス
#0SF/PF",茨城,67,98,208,14.8%,35.8%,59.9%,62.7%,43.4%,55.0%,41.8%,45.0%,1.5,19.8%,19.0%,17.0%,26.6%,19.4%,19.0%,17.0%,11.1%,18.5%,16.4%,14.3%,14.3,15.3,30.3%,10.7%,8.9%,17.4%
65,"アンソニー・クレモンズ
#5PG",越谷,66,55,190,15.1%,33.8%,55.0%,57.7%,40.6%,48.8%,44.3%,51.2%,2.0,19.7%,19.1%,18.0%,21.8%,20.4%,19.1%,18.0%,7.5%,13.7%,12.1%,20.4%,14.5,23.1,19.8%,9.2%,11.4%,20.4%
65,"トーマス・ウェルシュ
#40C",SR渋谷,66,27,188,10.8%,74.9%,56.3%,56.6%,89.2%,100.0%,0.0%,0.0%,2.2,8.5%,10.5%,7.8%,0.0%,0.0%,10.5%,7.8%,20.4%,14.6%,16.5%,3.3%,2.7,3.9,21.8%,4.2%,6.0%,6.3%
67,"保岡 龍斗
#23SG/SF",FE名古屋,65,100,106,12.9%,25.4%,53.5%,56.6%,31.7%,36.0%,55.4%,64.0%,2.1,13.2%,12.4%,13.0%,21.8%,20.1%,12.4%,13.0%,6.3%,9.7%,8.6%,11.1%,7.7,12.8,1.9%,8.3%,12.5%,9.2%
68,"レイ・パークスジュニア
#1SG",大阪,64,72,136,21.2%,30.4%,48.1%,53.6%,36.6%,42.8%,42.2%,57.2%,1.2,14.4%,12.8%,14.3%,18.4%,19.2%,12.8%,14.3%,6.9%,9.3%,8.4%,7.3%,9.3,10.2,3.1%,12.9%,9.4%,17.1%
69,"カイル・リチャードソン
#34C/PF",名古屋D,63,20,134,29.2%,56.8%,45.6%,51.6%,56.8%,77.6%,14.0%,22.4%,0.7,7.3%,6.5%,6.6%,3.0%,3.7%,6.5%,6.6%,15.7%,12.5%,13.7%,4.8%,13.1,9.0,4.1%,9.0%,14.7%,11.6%
70,"ヤンテ・メイテン
#1PF",三遠,62,36,182,27.5%,62.5%,55.2%,58.8%,65.3%,83.8%,7.2%,16.2%,1.3,9.0%,9.0%,7.6%,1.9%,2.8%,9.0%,7.6%,9.9%,7.3%,8.2%,5.5%,6.5,5.1,18.1%,5.4%,3.8%,12.8%
71,"キャメロン・ジャクソン
#7C/PF",三遠,60,52,202,22.5%,74.0%,53.1%,0.0%,75.3%,93.4%,2.2%,6.6%,1.8,6.7%,7.4%,6.4%,0.5%,1.0%,7.4%,6.4%,6.2%,8.7%,7.8%,6.5%,5.1,8.9,9.5%,9.8%,8.2%,7.5%
72,"タイラー・クック
#8C/PF",茨城,59,53,326,23.5%,76.5%,55.4%,57.2%,76.5%,99.7%,0.0%,0.3%,1.0,14.5%,15.0%,12.1%,0.0%,0.1%,15.0%,12.1%,11.4%,17.1%,15.5%,11.4%,17.5,8.1,12.4%,12.6%,7.9%,20.3%
72,"ヴォーディミル・ゲルン
#52C/PF",大阪,59,26,168,19.7%,75.3%,54.6%,56.3%,76.2%,95.1%,4.0%,4.9%,1.7,7.2%,7.8%,6.4%,0.9%,0.7%,7.8%,6.4%,14.1%,12.2%,12.8%,5.3%,4.9,6.1,26.8%,7.1%,4.7%,9.5%
72,"佐土原 遼
#8SF/PF",琉球,59,43,136,15.3%,49.6%,52.5%,55.4%,51.8%,55.2%,32.8%,44.8%,1.4,8.6%,8.8%,8.3%,8.6%,8.9%,8.8%,8.3%,7.1%,5.1%,5.9%,6.5%,8.1,6.7,8.3%,15.6%,10.6%,7.2%
72,"ジャモルコ・ピケット
#0SF/PF",FE名古屋,59,93,188,23.9%,38.4%,49.2%,55.4%,46.1%,58.0%,30.0%,42.0%,0.8,15.6%,14.1%,14.6%,13.8%,14.8%,14.1%,14.6%,9.3%,11.4%,10.7%,9.3%,16.7,11.7,21.4%,15.5%,10.0%,17.8%
76,"エヴァンス ルーク
#33PF",A千葉,58,51,156,11.9%,51.7%,46.5%,47.1%,54.3%,61.2%,33.8%,38.8%,1.1,9.8%,10.1%,11.4%,11.0%,12.1%,10.1%,11.4%,9.6%,12.0%,11.2%,7.4%,9.3,9.9,12.7%,13.4%,10.6%,10.9%
77,"ドワイト・ラモス
#2SG/SF",北海道,56,86,228,16.4%,47.4%,52.6%,55.8%,52.4%,63.4%,31.2%,36.6%,2.1,14.0%,13.8%,14.5%,16.3%,16.0%,13.8%,14.5%,7.2%,10.1%,9.1%,14.8%,12.1,17.9,19.4%,10.5%,10.2%,11.9%
77,"ブランドン・アシュリー
#21C/PF",A千葉,56,40,154,22.3%,63.6%,49.2%,54.9%,65.3%,80.1%,12.4%,19.9%,1.4,7.9%,7.7%,7.6%,3.2%,4.2%,7.7%,7.6%,9.6%,7.6%,8.2%,6.4%,6.5,8.5,8.2%,4.5%,7.5%,8.9%
77,"ゲイリー・クラーク
#8PF",横浜BC,56,32,152,8.2%,35.8%,53.4%,54.9%,40.9%,45.5%,50.8%,54.5%,1.4,13.9%,13.9%,14.6%,21.6%,20.0%,13.9%,14.6%,11.0%,15.9%,14.4%,7.9%,9.1,16.7,30.0%,13.8%,8.5%,8.3%
