Rank,Player,Age,GP,MIN,ORTG,DRTG,NRTG,USG%,TS%,eFG%,,,,
76,"小酒部 泰暉
A東京 - SG",27,37,904.8,113.31,109.92,3.40,14.98%,50.96%,47.29%,56.11%,23.98%,4.04,21.73%
77,"ベンドラメ 礼生
SR渋谷 - PG/SG",32,39,899.9,107.41,116.68,-9.26,24.17%,46.73%,42.22%,45.82%,22.19%,1.75,26.23%
78,"ジャレル・マーティン
越谷 - PF",32,39,899.5,103.97,109.03,-5.06,26.86%,51.02%,47.89%,28.16%,27.11%,1.17,16.86%
79,"ジェームズ・マイケル・マカドゥ
島根 - C/PF",33,39,897.6,108.72,109.50,-0.78,23.50%,57.86%,56.78%,3.54%,38.05%,1.50,14.29%
80,"ゲイリー・クラーク
横浜BC - PF",31,33,896.4,111.54,118.75,-7.21,23.89%,54.91%,53.42%,54.52%,13.70%,1.39,14.05%
81,"ケビン・ジョーンズ
北海道 - PF",36,32,887.3,121.78,113.64,8.14,17.54%,60.57%,58.75%,35.02%,12.12%,2.68,14.98%
82,"ヴィック・ロー
琉球 - SF/PF",30,32,886.7,117.80,105.35,12.44,26.46%,55.18%,51.71%,32.52%,22.98%,2.41,29.10%
83,"岸本 隆一
琉球 - PG/SG",36,37,886.6,119.12,105.50,13.62,24.35%,49.95%,45.71%,64.16%,19.74%,2.33,28.63%
84,"西田 優大
三河 - SG/SF",27,38,885.1,120.81,111.39,9.42,24.48%,54.98%,52.23%,35.75%,19.83%,2.66,27.44%
85,"安藤 周人
A東京 - SG",31,36,878.0,111.98,105.21,6.77,20.97%,60.36%,57.68%,75.16%,21.90%,1.51,11.94%
86,"熊谷 航
長崎 - PG",30,36,874.6,120.94,98.51,22.43,11.23%,48.52%,47.39%,62.75%,13.07%,3.23,30.51%
87,"津屋 一球
三遠 - SG",27,39,871.6,114.68,116.54,-1.86,14.10%,60.37%,60.89%,88.89%,12.00%,1.95,9.26%
88,"前田 怜緒
A千葉 - SG/SF",28,36,870.5,104.93,114.39,-9.47,21.58%,45.16%,42.28%,48.66%,20.13%,1.58,26.41%
89,"ブーバカー・トゥーレ
仙台 - C",30,39,868.3,107.76,110.68,-2.91,19.78%,55.79%,55.65%,0.00%,55.22%,0.68,11.20%
90,"宇都 直輝
富山 - PG",34,39,867.0,107.46,119.53,-12.07,20.06%,50.26%,45.74%,7.04%,34.81%,1.60,33.00%
91,"ロスコ・アレン
川崎 - SF/PF",33,33,866.3,105.87,116.20,-10.33,27.26%,53.07%,46.52%,39.83%,50.70%,1.06,12.12%
92,"キーファー・ラベナ
横浜BC - PG/SG",32,39,862.6,114.71,113.56,1.15,26.22%,58.80%,53.49%,41.57%,32.85%,2.09,32.07%
93,"ウィリアムス ニカ
富山 - C",38,38,861.0,109.81,116.04,-6.22,18.74%,56.44%,55.51%,0.38%,40.68%,0.40,5.37%
94,"ジョン・ハーラー
北海道 - C/PF",26,39,858.8,117.81,112.09,5.71,20.60%,61.07%,57.04%,0.00%,50.18%,1.68,19.40%
95,"渡辺 翔太
仙台 - PG",27,39,849.3,113.01,109.29,3.72,14.69%,55.19%,54.13%,72.17%,10.87%,3.55,19.84%
96,"納見 悠仁
島根 - PG/SG",29,39,844.3,109.16,108.60,0.56,17.29%,51.72%,49.34%,68.28%,12.78%,2.19,30.82%
97,"原 修太
千葉J - SG/SF",32,38,843.8,113.58,107.29,6.29,14.14%,52.37%,51.28%,29.74%,16.41%,2.08,18.35%
98,"篠山 竜青
川崎 - PG",37,39,841.9,104.19,114.68,-10.48,20.09%,61.74%,58.91%,60.87%,20.00%,2.04,45.72%
99,"エージェー・エドゥ
群馬 - C/PF",26,36,840.2,118.11,107.33,10.78,15.68%,59.58%,52.91%,0.53%,39.15%,1.59,13.84%
100,"小川 麻斗
京都 - PG",24,39,838.3,99.08,109.22,-10.14,29.08%,44.81%,41.93%,50.78%,16.41%,1.29,26.83%
101,"ヤニス・モラン
富山 - C/PF",32,34,835.9,104.42,113.36,-8.94,27.83%,54.83%,52.33%,14.21%,34.63%,0.66,13.34%
102,"アーロン・ホワイト
三河 - C/PF",33,39,835.3,113.88,111.58,2.29,16.26%,55.52%,50.98%,48.29%,47.32%,2.92,16.98%
103,"アレックス・カーク
琉球 - C",34,39,828.9,114.07,108.83,5.25,19.86%,64.94%,62.55%,1.82%,34.91%,1.79,13.16%
104,"中村 太地
島根 - PG/SG",28,39,826.4,111.42,107.24,4.17,16.78%,49.30%,47.06%,63.45%,13.87%,1.64,14.39%
105,"辻 直人
群馬 - SG",36,39,823.4,121.31,108.48,12.83,17.73%,56.12%,53.92%,81.96%,13.33%,3.75,20.50%
106,"山口 颯斗
長崎 - SG/SF",27,39,820.9,122.05,101.66,20.39,12.22%,62.12%,60.50%,63.54%,19.34%,1.52,7.97%
107,"元田 大陽
秋田 - SG",24,39,819.4,99.73,114.59,-14.86,14.42%,45.51%,43.84%,60.10%,11.33%,1.27,10.80%
108,"ケーレブ・ターズースキー
横浜BC - C",33,32,818.0,108.32,114.42,-6.10,14.73%,68.88%,64.07%,0.00%,53.29%,1.18,11.61%
109,"ナシール・リトル
千葉J - SF/PF",26,32,810.4,116.67,107.74,8.93,28.06%,60.61%,54.85%,37.95%,40.72%,1.41,14.99%
110,"ジャン・ローレンス・ハーパージュニア
SR渋谷 - PG",23,37,806.9,109.42,109.79,-0.37,19.39%,48.85%,46.35%,71.67%,19.31%,2.14,37.86%
111,"トレイ・ポーター
A千葉 - C/PF",29,38,804.9,109.16,115.79,-6.64,21.39%,64.05%,61.79%,11.03%,42.59%,0.79,9.52%
112,"長野 誠史
三河 - PG",30,39,800.4,120.22,112.28,7.94,17.79%,51.05%,44.65%,62.57%,31.02%,2.24,41.27%
113,"松山 駿
越谷 - PG/SG",29,32,796.1,106.07,113.43,-7.35,25.77%,62.32%,59.27%,65.35%,21.58%,1.37,19.60%
114,"カイル・リチャードソン
名古屋D - C/PF",35,39,794.0,109.18,101.42,7.76,16.47%,51.14%,45.14%,22.16%,56.22%,0.63,9.30%
115,"池田 祐一
越谷 - PG",29,39,793.4,102.67,108.25,-5.59,15.67%,46.86%,43.86%,42.69%,25.15%,1.88,33.80%
116,"タナー・グローヴス
佐賀 - C/PF",27,30,788.8,110.43,114.55,-4.12,26.74%,66.88%,62.91%,22.85%,35.91%,0.80,10.86%
117,"長谷川 暢
茨城 - PG",29,39,785.8,108.12,108.48,-0.36,26.39%,52.75%,49.70%,46.45%,21.30%,2.18,28.01%
118,"陳岡 流羽
茨城 - PG/SG",23,39,778.2,108.89,110.34,-1.45,12.17%,43.96%,43.23%,38.06%,12.90%,2.46,15.31%
119,"並里 成
FE名古屋 - PG",36,37,772.0,112.00,110.70,1.30,24.41%,45.47%,41.04%,32.57%,21.82%,2.55,47.58%
120,"アキル・ミッチェル
長崎 - C/PF",33,39,771.7,119.70,98.97,20.73,17.61%,59.34%,57.21%,12.61%,31.53%,2.20,21.64%
121,"エヴァンス ルーク
A千葉 - PF",35,37,764.7,104.33,109.30,-4.96,23.10%,47.14%,46.50%,38.81%,27.27%,1.05,14.91%
122,"黒川 虎徹
A千葉 - PG",25,39,764.3,108.76,118.15,-9.39,24.05%,55.00%,52.44%,46.25%,13.68%,2.27,34.97%
123,"青木 保憲
大阪 - PG",30,38,763.8,107.45,114.37,-6.92,16.07%,50.38%,46.37%,43.01%,18.13%,2.32,28.99%
124,"ジョン・ムーニー
千葉J - C/PF",28,28,759.6,118.99,100.69,18.30,20.95%,66.36%,61.97%,5.02%,37.84%,2.78,22.96%
125,"松脇 圭志
琉球 - SG",29,39,758.1,116.17,104.57,11.60,16.09%,43.60%,42.73%,80.62%,3.52%,1.52,13.01%
126,"タイラー・クック
茨城 - C/PF",28,37,755.6,101.72,114.36,-12.65,31.54%,57.21%,55.44%,0.34%,60.54%,0.97,23.78%
127,"飯尾 文哉
島根 - SG",25,35,746.5,110.81,111.13,-0.32,17.44%,49.72%,49.56%,49.78%,5.33%,1.38,13.69%
128,"チャールズ・ジャクソン
京都 - C",33,27,745.3,99.77,111.62,-11.85,23.37%,58.99%,58.54%,1.67%,62.50%,1.11,18.93%
129,"島谷 怜
北海道 - PG",25,39,739.7,121.44,110.36,11.08,13.07%,61.18%,55.74%,36.49%,33.78%,3.21,32.71%
130,"駒沢 颯
茨城 - PG",28,39,731.6,102.06,112.33,-10.28,21.41%,44.32%,42.97%,54.30%,5.08%,1.18,16.28%
131,"佐土原 遼
琉球 - SF/PF",26,39,724.9,115.42,108.57,6.85,18.41%,55.38%,52.49%,44.80%,27.15%,1.35,14.47%
132,"中村 功平
茨城 - PG/SG",29,34,723.7,108.48,110.99,-2.51,18.57%,48.00%,45.96%,71.91%,11.49%,2.88,19.25%
133,"須藤 昂矢
横浜BC - SG",29,35,718.8,110.47,115.57,-5.09,13.44%,53.70%,50.97%,55.84%,21.43%,1.90,11.49%
134,"コティ・クラーク
島根 - PF",33,31,716.9,114.13,112.58,1.55,29.03%,63.01%,57.12%,33.44%,36.84%,1.82,26.45%
135,"遠藤 祐亮
宇都宮 - SG",36,39,708.5,119.09,112.67,6.41,13.75%,58.71%,58.48%,88.30%,7.02%,1.96,13.08%
136,"湧川 颯斗
三遠 - PG",22,39,706.0,114.48,110.88,3.61,17.87%,53.39%,48.94%,43.62%,30.85%,1.40,21.48%
137,"川嶋 勇人
京都 - SG",36,36,704.2,98.24,110.52,-12.28,15.43%,42.13%,40.06%,66.08%,14.04%,2.07,24.67%
138,"杉本 天昇
FE名古屋 - SG",27,39,699.1,110.40,111.40,-1.00,17.90%,54.08%,52.95%,60.34%,14.77%,2.54,9.85%
139,"船生 誠也
仙台 - PG/SG",32,34,696.4,111.36,111.04,0.32,11.31%,59.27%,56.59%,57.36%,20.93%,2.27,15.51%
140,"小寺 ハミルトンゲイリー
越谷 - C",41,30,695.0,100.09,104.97,-4.88,8.84%,48.94%,50.72%,2.90%,21.74%,2.04,31.63%
141,"ザック・バランスキー
A東京 - SF/PF",33,39,694.0,110.93,111.10,-0.17,17.34%,44.06%,43.06%,68.42%,7.18%,1.45,12.14%
142,"アラン・ウィリアムズ
名古屋D - C",33,39,689.7,111.17,96.31,14.86,25.23%,50.74%,45.69%,1.03%,43.79%,1.36,16.32%
143,"高島 紳司
宇都宮 - SG",25,34,689.1,121.71,107.55,14.16,13.31%,53.68%,52.60%,79.19%,5.20%,2.07,8.17%
144,"森井 健太
横浜BC - PG",30,35,677.5,111.15,116.09,-4.93,9.21%,52.37%,51.92%,69.23%,23.08%,2.87,34.12%
145,"金丸 晃輔
佐賀 - SF",37,30,675.1,119.42,113.87,5.55,18.69%,63.87%,61.14%,65.07%,17.47%,1.50,7.29%
146,"フランシス・ロペス
FE名古屋 - SF",23,39,665.6,107.37,114.49,-7.12,19.13%,53.00%,50.49%,12.62%,33.98%,0.67,7.53%
147,"内尾 聡理
佐賀 - PG/SG",25,39,662.2,104.43,111.76,-7.32,11.42%,46.53%,44.92%,55.08%,16.95%,1.75,13.49%
148,"飯田 遼
川崎 - SG/SF",31,39,659.1,105.13,116.96,-11.83,14.70%,54.43%,53.09%,85.39%,7.30%,2.27,10.03%
149,"吉井 裕鷹
三遠 - SF",27,27,655.9,113.24,113.74,-0.50,18.28%,54.26%,51.62%,48.15%,28.70%,2.18,11.11%
